"country_code"	"age"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"0"	"WORLD"	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05	1e+05
900	"1"	"WORLD"	86588.68516089	87760.1137063198	88429.8277095534	90252.5735551184	91073.8970224015	92027.4572386588	92938.9205050471	93708.5509130512	94066.0697770264	94601.4186775852	95345.7085673238	96097.7265585883	96710.3708410001	97129.7481217448	97456.830312832	97739.3246267799	97985.8981554605	98205.1897471154	98395.1674889675	98558.5248638018	98699.5396582834	98817.8700111022	98918.4518031991	99008.5232436569	99083.4391554369	99149.0671546909	99207.5972398497	99257.6889934347	99302.2278405501	99341.9366862558
900	"5"	"WORLD"	79015.4199524274	80945.1990885882	82031.7510939969	84958.902348193	86535.2525841272	87933.4187142049	89419.2043623283	90638.627203194	91169.9848322508	91966.4093640759	93194.1315583633	94431.6783739111	95387.1419519641	95956.2461847588	96413.7942600161	96818.635467341	97181.4558627792	97506.319733556	97786.733060072	98027.4520253428	98232.9854485088	98403.2216652522	98545.7304560112	98672.794938592	98777.2849467247	98868.6199307347	98948.8419021502	99016.7911688846	99077.0967800572	99131.419346172
900	"10"	"WORLD"	76563.9100298038	78717.118479025	79980.0055220455	83438.0344921723	85179.2860896073	86843.8985642223	88357.8070607309	89612.2511409394	90367.1155123473	91242.853377625	92457.6701477144	93755.0293217361	94809.5756050228	95458.3272524424	95975.9111092526	96426.9355824869	96830.138594631	97191.8612177235	97507.4563914085	97781.7693643305	98016.8757239187	98209.9631370957	98370.2697850016	98512.9193614301	98629.9428868793	98733.0014524515	98823.3495061363	98899.5982544126	98967.1842406056	99028.1188205958
900	"15"	"WORLD"	75190.8177801554	77500.3967770619	78852.0535670563	82637.9847913072	84467.6722852635	86230.2235511933	87820.3128896296	89082.0980055285	89859.6348381608	90786.9031378842	92017.9423256124	93323.0551336263	94409.6193281419	95098.4140702189	95659.900278039	96146.6051683764	96578.7119607623	96965.421024126	97302.8621971463	97597.9959146823	97852.3879720812	98061.6613589042	98235.0568326526	98388.9395916701	98515.2877495256	98626.804966649	98724.2628462682	98806.9542033887	98880.2628413924	98946.3211400105
900	"20"	"WORLD"	73589.9911705736	76079.5805995386	77580.1620543313	81661.8198424354	83642.6017953735	85455.2785360401	87135.9613109071	88429.2444581805	89220.6167679798	90164.9601009405	91446.5520189894	92803.1929179736	93915.424044929	94636.1722081227	95242.4993391808	95774.2942443964	96245.0695606091	96662.0590668412	97023.6510571367	97341.5931257342	97618.303296228	97847.7687609559	98038.4960976747	98207.1382335751	98345.7720712438	98468.655266094	98575.4141698244	98666.9760935689	98748.4724696859	98821.968293422
900	"25"	"WORLD"	71682.3722702966	74370.0380014044	76050.477308433	80413.431901051	82624.4043879954	84500.6010502589	86270.8274378436	87618.1464273558	88441.8396582655	89377.0735967035	90669.1913400697	92116.5113665655	93308.3507847717	94056.8796904568	94698.761716325	95276.6058267276	95796.3451777142	96254.0823362057	96645.2786344187	96989.5545503573	97292.3486868186	97546.1476222376	97759.4639399743	97948.1758756215	98103.7543707344	98241.936275089	98361.0276477834	98464.427898831	98557.2862365018	98641.3811807645
900	"30"	"WORLD"	69564.4138687017	72418.6872241256	74279.0617385559	78961.7111821406	81431.523132463	83460.6283674815	85330.6617860878	86730.0158374078	87595.3077202967	88515.0186195638	89771.829831508	91289.986268503	92624.0744212085	93438.9725208858	94102.4695585927	94711.5016238954	95275.0716447252	95778.2278499868	96203.620188636	96576.5287761983	96905.7225002343	97183.923515822	97420.8849146725	97632.2869704938	97807.8894530796	97964.2317719975	98097.8568478267	98214.8749063695	98321.2373311974	98418.1228306707
900	"35"	"WORLD"	67164.2457667911	70268.0911484369	72264.4116873777	77301.280061574	80075.1537471153	82277.2830164311	84307.9820640056	85766.2749342877	86654.9966434709	87563.5028731574	88786.9806044454	90355.3816898772	91823.7537056671	92737.9938769565	93450.8432804668	94080.3048127063	94676.1441825698	95222.5421309411	95686.9455235579	96094.3570239545	96452.8789257034	96756.630657717	97018.1366502155	97253.9902474451	97452.6951743535	97630.9590347002	97782.7084605085	97916.3844642503	98038.9615102918	98151.3260695487
900	"40"	"WORLD"	64512.7629939354	67752.8070979532	70016.6816189795	75396.991332177	78511.0968831788	80897.5716520453	83077.203405212	84651.2353272121	85564.7860973913	86449.3138764135	87663.3666464768	89308.0273991988	90895.9846493716	91877.7990031898	92659.7193667804	93339.152667089	93957.6892848482	94537.6319227129	95040.0615781742	95488.5781561675	95883.1216178258	96216.7374651504	96505.5722032802	96768.4060762392	96993.6064724712	97198.5819619353	97374.4528365075	97530.2381118927	97673.7460164518	97806.0773868775
